N001 | 宇宙存在 | 宇宙真实存在，是一切溯源链条的绝对起点和唯一根节点。
N002 | 差异 | 存在的前提。若万物无差异，则“存在”与“虚无”无法区分。差异是存在的第一刻痕。
N003 | 边界 | 差异的稳定载体。差异必须被边界界定，否则差异将弥散回混沌，无法保持稳定区分。
N004 | 节点/空间粒子 | 边界的最小不可分单元。在离散逻辑下，边界必须有一个最小的、不可再分的载体，以避免无限回归。空间粒子是宇宙的砖石，但其本质是关系束。
N005 | 边/连接 | 节点之间的关联。孤立节点无法被确认存在，连接是对存在的确认。边是关系的唯一载体，无向、无权重。
N006 | 闭合网络 | 关联的自洽形态。若关系开放，则总有一个未定义的“外部”。唯有闭合的环路，才能自洽地定义“内外”，使存在得以成立。
N007 | 最小度数≥2 | 闭合网络的必然要求。任何节点必须至少有2个连接。度为0是孤立，度为1是悬桂边——无法形成闭合环路，逻辑上等同于不存在。这是删除悬挂边的根本原因。
N008 | 总边数守恒 | 关系的总量守恒。关系是存在的度量。宇宙的总边数永恒不变，既不会增加也不会减少。变化的只是边的连接方式。
N009 | 创生事件 V⁺ | 网络的自发扩展。当局部拓扑条件满足时，新的空间粒子被创生。它占用一条边，并建立新连接，驱动体积增长。
N010 | 体积/存在权重 | 关系的赋权。一个节点的体积由它的连接数（度数）决定。度数越高，体积越大，存在权重越高。体积不是内禀属性，而是关系的投影。混沌的内域仅作为边界存在。
N011 | 悬挂边删除 | 逻辑的修剪。在一帧结束时，系统检查所有边。如果某条边的移除不会破坏网络的连通性，且该边导致其端点度数降为1，则该边被标记为悬挂边并被删除。这是逻辑自洽的强制执行，不是物理过程。
N012 | 离散帧 | 宇宙演化的唯一节拍。一个完整的帧定义为：创生→连接→变化体积→判断悬挂边→删除悬挂边。一帧内没有循环，没有“联级消解”。一帧只做一次删除。删除后新产生的悬挂边，是下一帧处理的起点。
N013 | 不完美 | 宇宙持续演化的动力源。双层不完美：(1) 边缘不完美——每帧必残留悬挂边；(2) 中心不完美——锚点（引力中心/类均值）持续震荡，永不"锁定"。2026年N015/N016实验实测：DeepCNN 97.1%正确率下锚点漂移率最小6.16，完整拓扑闭合在标准SGD训练中不可达。不完美不是待消除的缺陷，而是系统持续运行的本质结构。
N014 | 晶子 | 0层级空间粒子。当空间粒子的连接数增长至临界值，其等效直径达到临界值 D_max=4κ。晶子构成空间骨架，其总度数接近几何容量上限。
N015 | 分形约束生长 | 空间的结构化进程。0层级晶子构成骨架，其缝隙强制生成1层级空间粒子。1层级之间的缝隙生成2层级，如此递归，直至缝隙无法容纳最小稳定连接。这是空间的生成语法。
N016 | 拓扑常数 12 | 宇宙的拓扑本体。任何闭合结构中，纯组合逻辑强制要求 Σ(6−deg(v)) = 6χ(M)。对球面拓扑 χ=2，0层级节点恰好12个。通用形式覆盖全体可定向闭曲面。12是三维空间、正二十面体和接吻数的真正起源。
N017 | π 的降级 | 认知投影的转换因子。π不是宇宙的固有常数。它是人类以六方向直角坐标认知各向同性球体时，必然引入的认知压缩因子。宇宙本体只记录整数12和拓扑约束，π是这些约束在连续几何屏幕上的翻译语法。π的无理性（无限不循环小数）正是离散本体与连续认知之间不可公度性的数学表达——离散整数性无法被有限比例的连续模型完美覆盖。
N018 | 永恒粒子 | 一种稳定粒子。由多个晶子通过拓扑锁定形成，结构固定，可在网络中徜徉。永恒粒子吞噬前方空间粒子，成为物质的前身。
N019 | 几何发生学 | 空间的认知投影。欧氏几何不是宇宙的先验结构，而是关系网络在宏观尺度上的统计投影。直径语法、球体公式，都是从关系网络中涌现的认知工具。
N020 | 运动与引力 | 演化的宏观涌现。运动不是被“力”驱动，而是删除与创生事件自然产生的坐标更新。引力是净湮灭驱动的**空间流**（介质本地移动，速率不受 c 限制）；空间密度 σ 梯度排列是它的读数——高密度区（高连接数）向低密度区（低连接数）的拓扑倾向。
N021 | 拓扑认知 | SPUM框架在神经网络认知系统中的实验验证。2026年P0/P1/P2/N015/N016多层级实验（MLP + DeepCNN 28.8万参数）。确认：(1)悬挂端梯度范数2.5倍差异p≈0；(2)δ初期幂律衰减；(3)悬挂端语义边界聚集；(4)90.5%悬挂端分类正确。关键修正：N013证伪（δ对锚点漂移无感）、N014因果反转（loss→锚点→δ）、完整拓扑闭合在标准SGD不可达（锚点漂移最小6.16）。引入新概念锚点漂移率Δμ，定义双层闭合判据：δ<θ_δ且Δμ<θ_μ。
N022 | SPUM-图论 | L0.5认知层级——L0本体论的图论表达工具。与经典L2图论隔离：连接优先于属性（公理1）、悬挂端不可消除（公理2，N013的图论表达）、图状态是帧快照（公理3）、完美是极限非状态（公理4）、局部闭合允许全局暂态矛盾（公理5）。含映射词典（L2→SPUM-图论）和使用协议（何时可用/何时必须退回L0）。锚定于`core/v1.0/08_SPUM_Graph_Theory.md`。
